bar_ts,session,side,entry,exit,exit_reason,pnl,cum_pnl,signal_type,score
2026-01-19 13:45:00,2026-01-19,SHORT,25409.5,25394.75,FLATTEN,294.3,1270.5,both,55.9
2026-01-20 09:34:00,2026-01-20,LONG,25217.0,25207.0,STOP,-200.7,1069.8,both,56.7
2026-01-20 14:40:00,2026-01-20,LONG,25216.5,25206.5,STOP,-200.7,869.1,both,57.0
2026-01-21 10:20:00,2026-01-21,LONG,25208.0,25228.0,TARGET,399.3,1268.4,both,52.8
2026-01-21 10:30:00,2026-01-21,LONG,25213.0,25203.0,STOP,-200.7,1067.7,both,63.4
2026-01-21 12:32:00,2026-01-21,LONG,25432.75,25422.75,STOP,-200.7,867.0,both,55.5
2026-01-22 10:24:00,2026-01-22,LONG,25715.5,25735.5,TARGET,399.3,1266.3,both,51.0
2026-01-22 10:29:00,2026-01-22,LONG,25729.25,25719.25,STOP,-200.7,1065.6,both,54.7
2026-01-22 10:32:00,2026-01-22,LONG,25690.25,25680.25,STOP,-200.7,864.9,both,55.8
2026-01-23 10:29:00,2026-01-23,SHORT,25607.75,25617.75,STOP,-200.7,664.2,both,59.9
2026-01-23 14:45:00,2026-01-23,LONG,25725.75,25745.75,TARGET,399.3,1063.5,both,53.4
2026-01-26 09:37:00,2026-01-26,LONG,25673.5,25663.5,STOP,-200.7,862.8,both,54.0
2026-01-26 12:00:00,2026-01-26,LONG,25890.75,25880.75,STOP,-200.7,662.1,both,51.2
2026-01-27 10:30:00,2026-01-27,LONG,25981.25,26001.25,TARGET,399.3,1061.4,both,65.0
2026-01-27 10:32:00,2026-01-27,SHORT,25993.75,25973.75,TARGET,399.3,1460.7,both,61.1
2026-01-27 14:02:00,2026-01-27,LONG,26050.75,26070.75,TARGET,399.3,1860.0,both,59.9
2026-01-28 09:41:00,2026-01-28,LONG,26264.75,26284.75,TARGET,399.3,2259.3,both,52.2
2026-01-28 15:00:00,2026-01-28,LONG,26182.75,26172.75,STOP,-200.7,2058.6,both,50.7
2026-01-29 10:05:00,2026-01-29,LONG,26158.25,26148.25,STOP,-200.7,1857.9,both,59.1
2026-01-29 10:27:00,2026-01-29,LONG,26147.0,26137.0,STOP,-200.7,1657.2,both,59.6
2026-01-29 10:30:00,2026-01-29,SHORT,26139.75,26149.75,STOP,-200.7,1456.5,both,65.0
2026-01-29 10:31:00,2026-01-29,SHORT,26119.0,26129.0,STOP,-200.7,1255.8,both,62.5
2026-01-29 10:37:00,2026-01-29,LONG,26033.0,26023.0,STOP,-200.7,1055.1,both,50.4
2026-01-29 14:40:00,2026-01-29,SHORT,25876.75,25856.75,TARGET,399.3,1454.4,both,55.6
2026-01-29 15:01:00,2026-01-29,LONG,25836.75,25856.75,TARGET,399.3,1853.7,both,57.3
2026-01-30 10:28:00,2026-01-30,LONG,25829.25,25849.25,TARGET,399.3,2253.0,both,53.1
2026-01-30 12:18:00,2026-01-30,LONG,25797.25,25787.25,STOP,-200.7,2052.3,both,50.8
2026-02-02 10:32:00,2026-02-02,SHORT,25636.75,25616.75,TARGET,399.3,2451.6,both,64.6
2026-02-02 13:35:00,2026-02-02,SHORT,25920.5,25930.5,STOP,-200.7,2250.9,both,50.1
2026-02-02 13:56:00,2026-02-02,SHORT,25932.25,25912.25,TARGET,399.3,2650.2,both,55.9
2026-02-03 10:16:00,2026-02-03,LONG,25947.0,25937.0,STOP,-200.7,2449.5,both,54.3
2026-02-03 10:25:00,2026-02-03,SHORT,25942.5,25952.5,STOP,-200.7,2248.8,both,57.9
2026-02-03 10:30:00,2026-02-03,LONG,25940.75,25930.75,STOP,-200.7,2048.1,both,65.0
2026-02-03 10:34:00,2026-02-03,LONG,25876.0,25866.0,STOP,-200.7,1847.4,both,52.5
2026-02-03 15:00:00,2026-02-03,LONG,25251.75,25241.75,STOP,-200.7,1646.7,both,55.4
2026-02-04 10:27:00,2026-02-04,SHORT,25367.75,25377.75,STOP,-200.7,1446.0,both,60.0
2026-02-04 10:32:00,2026-02-04,LONG,25268.5,25258.5,STOP,-200.7,1245.3,both,63.6
2026-02-04 10:36:00,2026-02-04,SHORT,25333.25,25343.25,STOP,-200.7,1044.6,both,51.5
2026-02-05 10:00:00,2026-02-05,LONG,24774.75,24794.75,TARGET,399.3,1443.9,both,62.8
2026-02-05 10:33:00,2026-02-05,SHORT,24712.0,24722.0,STOP,-200.7,1243.2,both,51.7
2026-02-06 10:28:00,2026-02-06,LONG,24764.0,24754.0,STOP,-200.7,1042.5,both,60.2
2026-02-06 10:29:00,2026-02-06,SHORT,24760.25,24740.25,TARGET,399.3,1441.8,both,62.5
2026-02-06 10:36:00,2026-02-06,LONG,24858.25,24848.25,STOP,-200.7,1241.1,both,53.2
2026-02-09 10:31:00,2026-02-09,LONG,25006.75,24996.75,STOP,-200.7,1040.4,both,63.6
2026-02-09 12:47:00,2026-02-09,SHORT,25381.0,25391.0,STOP,-200.7,839.7,both,51.5
2026-02-10 10:28:00,2026-02-10,LONG,25388.5,25378.5,STOP,-200.7,639.0,both,60.3
2026-02-10 10:31:00,2026-02-10,SHORT,25371.5,25381.5,STOP,-200.7,438.3,both,63.7
2026-02-10 10:32:00,2026-02-10,LONG,25380.75,25370.75,STOP,-200.7,237.6,both,55.6
2026-02-10 12:15:00,2026-02-10,LONG,25374.25,25394.25,TARGET,399.3,636.9,both,50.5
2026-02-11 10:33:00,2026-02-11,LONG,25421.5,25411.5,STOP,-200.7,436.2,both,55.5
2026-02-11 15:09:00,2026-02-11,LONG,25282.5,25302.5,TARGET,399.3,835.5,both,61.2
2026-02-12 09:38:00,2026-02-12,SHORT,25382.75,25392.75,STOP,-200.7,634.8,both,59.0
2026-02-12 10:38:00,2026-02-12,SHORT,25362.25,25372.25,STOP,-200.7,434.1,both,51.3
2026-02-13 10:30:00,2026-02-13,LONG,24743.0,24733.0,STOP,-200.7,233.4,both,65.0
2026-02-13 10:35:00,2026-02-13,LONG,24729.5,24719.5,STOP,-200.7,32.7,both,55.9
2026-02-16 10:17:00,2026-02-16,LONG,24781.75,24771.75,STOP,-200.7,-168.0,both,50.0
2026-02-17 09:52:00,2026-02-17,SHORT,24684.25,24664.25,TARGET,399.3,231.3,both,61.3
2026-02-19 10:36:00,2026-02-19,LONG,24795.5,24815.5,TARGET,399.3,630.6,both,59.3
2026-02-19 14:20:00,2026-02-19,LONG,24767.75,24757.75,STOP,-200.7,429.9,both,56.2
2026-02-20 09:33:00,2026-02-20,LONG,24773.5,24763.5,STOP,-200.7,229.2,both,57.7
2026-02-20 10:29:00,2026-02-20,LONG,24715.5,24705.5,STOP,-200.7,28.5,both,56.9
2026-02-20 10:30:00,2026-02-20,LONG,24725.25,24745.25,TARGET,399.3,427.8,both,65.0
2026-02-20 13:55:00,2026-02-20,LONG,25012.25,25032.25,TARGET,399.3,827.1,both,55.6
2026-02-20 14:23:00,2026-02-20,SHORT,24962.5,24972.5,STOP,-200.7,626.4,both,51.0
2026-02-20 14:24:00,2026-02-20,LONG,24984.5,24974.5,STOP,-200.7,425.7,both,52.9
2026-02-20 14:30:00,2026-02-20,LONG,24980.25,25000.25,TARGET,399.3,825.0,both,52.2
2026-02-24 15:17:00,2026-02-24,LONG,25001.75,25021.75,TARGET,399.3,1224.3,both,54.3
2026-02-25 10:19:00,2026-02-25,LONG,25140.25,25160.25,TARGET,399.3,1623.6,both,62.2
2026-02-25 13:08:00,2026-02-25,LONG,25330.75,25320.75,STOP,-200.7,1422.9,both,64.5
2026-02-25 13:30:00,2026-02-25,LONG,25322.0,25342.0,TARGET,399.3,1822.2,both,55.9
2026-02-25 15:02:00,2026-02-25,SHORT,25361.0,25371.0,STOP,-200.7,1621.5,both,65.0
2026-02-26 15:00:00,2026-02-26,LONG,24998.25,25018.25,TARGET,399.3,2020.8,both,51.1
2026-02-27 10:30:00,2026-02-27,SHORT,24828.25,24838.25,STOP,-200.7,1820.1,both,65.0
2026-02-27 13:30:00,2026-02-27,SHORT,24957.0,24937.0,TARGET,399.3,2219.4,both,55.1
2026-02-27 13:31:00,2026-02-27,LONG,24952.0,24972.0,TARGET,399.3,2618.7,both,51.9
2026-03-02 10:30:00,2026-03-02,LONG,24683.75,24703.75,TARGET,399.3,3018.0,both,61.1
2026-03-02 10:33:00,2026-03-02,SHORT,24786.75,24796.75,STOP,-200.7,2817.3,both,56.6
2026-03-02 14:38:00,2026-03-02,LONG,25013.25,25003.25,STOP,-200.7,2616.6,both,54.1
2026-03-03 10:35:00,2026-03-03,LONG,24551.75,24541.75,STOP,-200.7,2415.9,both,52.3
2026-03-06 10:30:00,2026-03-06,SHORT,24682.0,24692.0,STOP,-200.7,2215.2,both,65.0
2026-03-06 10:33:00,2026-03-06,SHORT,24697.25,24707.25,STOP,-200.7,2014.5,both,53.9
2026-03-09 14:21:00,2026-03-09,SHORT,24647.25,24657.25,STOP,-200.7,1813.8,both,57.0
2026-03-11 09:35:00,2026-03-11,SHORT,25079.5,25089.5,STOP,-200.7,1613.1,both,51.7
2026-03-11 13:40:00,2026-03-11,SHORT,24919.5,24899.5,TARGET,399.3,2012.4,both,51.8
2026-03-12 15:01:00,2026-03-12,SHORT,24595.75,24605.75,STOP,-200.7,1811.7,both,52.2
