bar_ts,session,side,entry,exit,exit_reason,pnl,cum_pnl,signal_type,score
2026-01-29 10:27:00,2026-01-29,LONG,26147.0,26139.0,STOP,-160.7,1437.2,both,59.6
2026-01-29 10:30:00,2026-01-29,SHORT,26139.75,26147.75,STOP,-160.7,1276.5,both,65.0
2026-01-29 10:31:00,2026-01-29,SHORT,26119.0,26127.0,STOP,-160.7,1115.8,both,62.5
2026-01-29 10:37:00,2026-01-29,LONG,26033.0,26025.0,STOP,-160.7,955.1,both,50.4
2026-01-29 14:40:00,2026-01-29,SHORT,25876.75,25861.75,TARGET,299.3,1254.4,both,55.6
2026-01-29 15:01:00,2026-01-29,LONG,25836.75,25851.75,TARGET,299.3,1553.7,both,57.3
2026-01-30 10:28:00,2026-01-30,LONG,25829.25,25821.25,STOP,-160.7,1393.0,both,53.1
2026-01-30 12:18:00,2026-01-30,LONG,25797.25,25789.25,STOP,-160.7,1232.3,both,50.8
2026-02-02 10:32:00,2026-02-02,SHORT,25636.75,25621.75,TARGET,299.3,1531.6,both,64.6
2026-02-02 13:35:00,2026-02-02,SHORT,25920.5,25905.5,TARGET,299.3,1830.9,both,50.1
2026-02-02 13:56:00,2026-02-02,SHORT,25932.25,25917.25,TARGET,299.3,2130.2,both,55.9
2026-02-03 10:16:00,2026-02-03,LONG,25947.0,25939.0,STOP,-160.7,1969.5,both,54.3
2026-02-03 10:25:00,2026-02-03,SHORT,25942.5,25950.5,STOP,-160.7,1808.8,both,57.9
2026-02-03 10:30:00,2026-02-03,LONG,25940.75,25932.75,STOP,-160.7,1648.1,both,65.0
2026-02-03 10:34:00,2026-02-03,LONG,25876.0,25868.0,STOP,-160.7,1487.4,both,52.5
2026-02-03 15:00:00,2026-02-03,LONG,25251.75,25243.75,STOP,-160.7,1326.7,both,55.4
2026-02-04 10:27:00,2026-02-04,SHORT,25367.75,25375.75,STOP,-160.7,1166.0,both,60.0
2026-02-04 10:32:00,2026-02-04,LONG,25268.5,25260.5,STOP,-160.7,1005.3,both,63.6
2026-02-04 10:36:00,2026-02-04,SHORT,25333.25,25341.25,STOP,-160.7,844.6,both,51.5
2026-02-05 10:00:00,2026-02-05,LONG,24774.75,24789.75,TARGET,299.3,1143.9,both,62.8
2026-02-05 10:33:00,2026-02-05,SHORT,24712.0,24720.0,STOP,-160.7,983.2,both,51.7
2026-02-06 10:28:00,2026-02-06,LONG,24764.0,24779.0,TARGET,299.3,1282.5,both,60.2
2026-02-06 10:29:00,2026-02-06,SHORT,24760.25,24768.25,STOP,-160.7,1121.8,both,62.5
2026-02-06 10:36:00,2026-02-06,LONG,24858.25,24850.25,STOP,-160.7,961.1,both,53.2
2026-02-09 10:31:00,2026-02-09,LONG,25006.75,24998.75,STOP,-160.7,800.4,both,63.6
2026-02-09 12:47:00,2026-02-09,SHORT,25381.0,25389.0,STOP,-160.7,639.7,both,51.5
2026-02-10 10:28:00,2026-02-10,LONG,25388.5,25380.5,STOP,-160.7,479.0,both,60.3
2026-02-10 10:31:00,2026-02-10,SHORT,25371.5,25379.5,STOP,-160.7,318.3,both,63.7
2026-02-10 10:32:00,2026-02-10,LONG,25380.75,25372.75,STOP,-160.7,157.6,both,55.6
2026-02-10 12:15:00,2026-02-10,LONG,25374.25,25389.25,TARGET,299.3,456.9,both,50.5
2026-02-11 10:33:00,2026-02-11,LONG,25421.5,25413.5,STOP,-160.7,296.2,both,55.5
2026-02-11 15:09:00,2026-02-11,LONG,25282.5,25274.5,STOP,-160.7,135.5,both,61.2
2026-02-12 09:38:00,2026-02-12,SHORT,25382.75,25390.75,STOP,-160.7,-25.2,both,59.0
2026-02-12 10:38:00,2026-02-12,SHORT,25362.25,25347.25,TARGET,299.3,274.1,both,51.3
2026-02-13 10:30:00,2026-02-13,LONG,24743.0,24735.0,STOP,-160.7,113.4,both,65.0
2026-02-13 10:35:00,2026-02-13,LONG,24729.5,24721.5,STOP,-160.7,-47.3,both,55.9
2026-02-16 10:17:00,2026-02-16,LONG,24781.75,24773.75,STOP,-160.7,-208.0,both,50.0
2026-02-17 09:52:00,2026-02-17,SHORT,24684.25,24669.25,TARGET,299.3,91.3,both,61.3
2026-02-19 10:36:00,2026-02-19,LONG,24795.5,24810.5,TARGET,299.3,390.6,both,59.3
2026-02-19 14:20:00,2026-02-19,LONG,24767.75,24759.75,STOP,-160.7,229.9,both,56.2
2026-02-20 09:33:00,2026-02-20,LONG,24773.5,24765.5,STOP,-160.7,69.2,both,57.7
2026-02-20 10:29:00,2026-02-20,LONG,24715.5,24707.5,STOP,-160.7,-91.5,both,56.9
2026-02-20 10:30:00,2026-02-20,LONG,24725.25,24740.25,TARGET,299.3,207.8,both,65.0
2026-02-20 13:55:00,2026-02-20,LONG,25012.25,25027.25,TARGET,299.3,507.1,both,55.6
