bar_ts,session,side,entry,exit,exit_reason,pnl,cum_pnl,signal_type,score
2026-01-15 14:51:00,2026-01-15,LONG,25885.75,25880.75,STOP,-100.7,330.4,both,50.3
2026-01-15 15:04:00,2026-01-15,LONG,25843.5,25838.5,STOP,-100.7,229.7,both,50.8
2026-01-16 10:25:00,2026-01-16,LONG,25840.0,25857.5,TARGET,349.3,579.0,both,65.0
2026-01-16 10:30:00,2026-01-16,LONG,25883.0,25878.0,STOP,-100.7,478.3,both,65.0
2026-01-16 13:31:00,2026-01-16,LONG,25688.0,25705.5,TARGET,349.3,827.6,both,51.2
2026-01-16 13:46:00,2026-01-16,LONG,25685.25,25680.25,STOP,-100.7,726.9,both,54.2
2026-01-19 11:55:00,2026-01-19,LONG,25320.25,25315.25,STOP,-100.7,626.2,both,51.7
2026-01-19 13:45:00,2026-01-19,SHORT,25409.5,25394.75,FLATTEN,294.3,920.5,both,55.9
2026-01-20 09:34:00,2026-01-20,LONG,25217.0,25212.0,STOP,-100.7,819.8,both,56.7
2026-01-20 14:40:00,2026-01-20,LONG,25216.5,25211.5,STOP,-100.7,719.1,both,57.0
2026-01-21 10:20:00,2026-01-21,LONG,25208.0,25225.5,TARGET,349.3,1068.4,both,52.8
2026-01-21 10:30:00,2026-01-21,LONG,25213.0,25208.0,STOP,-100.7,967.7,both,63.4
2026-01-21 12:32:00,2026-01-21,LONG,25432.75,25427.75,STOP,-100.7,867.0,both,55.5
2026-01-22 10:24:00,2026-01-22,LONG,25715.5,25733.0,TARGET,349.3,1216.3,both,51.0
2026-01-22 10:29:00,2026-01-22,LONG,25729.25,25724.25,STOP,-100.7,1115.6,both,54.7
2026-01-22 10:32:00,2026-01-22,LONG,25690.25,25685.25,STOP,-100.7,1014.9,both,55.8
2026-01-23 10:29:00,2026-01-23,SHORT,25607.75,25612.75,STOP,-100.7,914.2,both,59.9
2026-01-23 14:45:00,2026-01-23,LONG,25725.75,25720.75,STOP,-100.7,813.5,both,53.4
2026-01-26 09:37:00,2026-01-26,LONG,25673.5,25668.5,STOP,-100.7,712.8,both,54.0
2026-01-26 12:00:00,2026-01-26,LONG,25890.75,25885.75,STOP,-100.7,612.1,both,51.2
2026-01-27 10:30:00,2026-01-27,LONG,25981.25,25998.75,TARGET,349.3,961.4,both,65.0
2026-01-27 10:32:00,2026-01-27,SHORT,25993.75,25976.25,TARGET,349.3,1310.7,both,61.1
2026-01-27 14:02:00,2026-01-27,LONG,26050.75,26045.75,STOP,-100.7,1210.0,both,59.9
