hypothesis,alert_timestamp_utc,alert_price,entry_bar_index,entry_price,direction_label,trade_date_et,day_of_week,time_bucket_30m,trade_pnl_ticks,mfe_ticks,mae_ticks,success_flag,prior_30m_absorptions,near_session_level_10t,nearest_session_level_distance_ticks,es_confluence_30m,nearest_es_absorption_minutes,entry_delay_bars,stop_loss_ticks,take_profit_ticks,entry_timestamp_utc,exit_timestamp_utc,exit_price,direction,pnl_ticks,outcome,bars_held
absorption_param_sweep_best,2025-10-20 14:04:04+00:00,25240.0,,25241.25,,,,,,104.0,-323.0,,,,,,,1.0,40.0,40.0,2025-10-20 14:06:00+00:00,2025-10-20 14:08:00+00:00,25251.25,short_reversal,-40.0,stop_loss,3.0
absorption_baseline,2025-10-20 14:06:53+00:00,25250.0,280396.0,25249.0,short_reversal,2025-10-20,Monday,10:00,124.0,135.0,-16.0,True,1.0,False,390.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-20 14:06:53+00:00,25250.0,,25245.75,,,,,,122.0,-305.0,,,,,,,1.0,40.0,40.0,2025-10-20 14:08:00+00:00,2025-10-20 14:11:00+00:00,25235.75,short_reversal,40.0,take_profit,4.0
absorption_baseline,2025-10-20 15:48:36+00:00,25334.25,280498.0,25334.5,short_reversal,2025-10-20,Monday,11:30,71.0,146.0,-44.0,True,0.0,False,727.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-20 15:48:36+00:00,25334.25,,25338.75,,,,,,192.0,-27.0,,,,,,,1.0,40.0,40.0,2025-10-20 15:50:00+00:00,2025-10-20 15:52:00+00:00,25328.75,short_reversal,40.0,take_profit,3.0
absorption_baseline,2025-10-20 17:19:44+00:00,25347.75,280589.0,25342.0,short_reversal,2025-10-20,Monday,13:00,22.0,40.0,-17.0,True,0.0,False,781.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-20 17:19:44+00:00,25347.75,,25337.75,,,,,,28.0,-67.0,,,,,,,1.0,40.0,40.0,2025-10-20 17:21:00+00:00,2025-10-20 17:42:00+00:00,25347.75,short_reversal,-40.0,stop_loss,22.0
absorption_baseline,2025-10-20 18:26:51+00:00,25334.75,280656.0,25333.75,long_reversal,2025-10-20,Monday,14:00,-9.0,22.0,-18.0,True,0.0,False,729.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-20 18:26:51+00:00,25334.75,,25337.5,,,,,,7.0,-162.0,,,,,,,1.0,40.0,40.0,2025-10-20 18:28:00+00:00,2025-10-20 18:39:00+00:00,25327.5,long_reversal,-40.0,stop_loss,12.0
session_level_sr,2025-10-21 13:50:00+00:00,25253.0,,25260.75,,2025-10-21,Tuesday,09:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 14:07:00+00:00,25253.0,,25247.25,,2025-10-21,Tuesday,10:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 14:25:00+00:00,25253.0,,25261.25,,2025-10-21,Tuesday,10:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 14:36:00+00:00,25253.0,,25246.75,,2025-10-21,Tuesday,10:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 14:47:00+00:00,25253.0,,25252.0,,2025-10-21,Tuesday,10:30,10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 15:17:00+00:00,25253.0,,25266.5,,2025-10-21,Tuesday,11:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 15:47:00+00:00,25308.0,,25311.25,,2025-10-21,Tuesday,11:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 16:52:00+00:00,25308.0,,25310.75,,2025-10-21,Tuesday,12:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 17:02:00+00:00,25253.0,,25259.0,,2025-10-21,Tuesday,13:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 17:12:00+00:00,25308.0,,25304.75,,2025-10-21,Tuesday,13:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 17:53:00+00:00,25308.0,,25306.75,,2025-10-21,Tuesday,13:30,10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 18:11:00+00:00,25308.0,,25313.0,,2025-10-21,Tuesday,14:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 18:22:00+00:00,25308.0,,25309.25,,2025-10-21,Tuesday,14:00,10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 18:39:00+00:00,25308.0,,25312.75,,2025-10-21,Tuesday,14:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 18:59:00+00:00,25308.0,,25309.75,,2025-10-21,Tuesday,14:30,10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 19:11:00+00:00,25308.0,,25307.5,,2025-10-21,Tuesday,15:00,10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-21 19:27:00+00:00,25308.0,,25309.5,,2025-10-21,Tuesday,15:00,10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-22 13:54:00+00:00,25285.5,,25280.25,,2025-10-22,Wednesday,09:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-10-22 14:14:00+00:00,25214.5,,25211.25,,2025-10-22,Wednesday,10:00,10.0,,,,,,,,,,,,,,,,,,
absorption_baseline,2025-10-22 14:32:05+00:00,25101.75,283182.0,25113.0,long_reversal,2025-10-22,Wednesday,10:30,-126.0,73.0,-167.0,True,0.0,False,451.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 14:32:05+00:00,25101.75,,25117.5,,,,,,299.0,-457.0,,,,,,,1.0,40.0,40.0,2025-10-22 14:34:00+00:00,2025-10-22 14:35:00+00:00,25107.5,long_reversal,-40.0,stop_loss,2.0
absorption_baseline,2025-10-22 15:23:09+00:00,25046.75,283233.0,25058.5,short_reversal,2025-10-22,Wednesday,11:00,107.0,221.0,-53.0,True,0.0,False,671.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 15:23:09+00:00,25046.75,,25053.5,,,,,,201.0,-313.0,,,,,,,1.0,40.0,40.0,2025-10-22 15:25:00+00:00,2025-10-22 15:25:00+00:00,25063.5,short_reversal,-40.0,stop_and_target_same_bar_stop_assumed,1.0
absorption_baseline,2025-10-22 15:23:10+00:00,25046.75,283233.0,25058.5,short_reversal,2025-10-22,Wednesday,11:00,107.0,221.0,-53.0,True,1.0,False,671.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 15:23:10+00:00,25046.75,,25053.5,,,,,,201.0,-313.0,,,,,,,1.0,40.0,40.0,2025-10-22 15:25:00+00:00,2025-10-22 15:25:00+00:00,25063.5,short_reversal,-40.0,stop_and_target_same_bar_stop_assumed,1.0
