trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple
70,0.5857142857142857,0.8643710470836261,-2.757142857142857,30.0,-193.0,-0.07004889953921055,4,50,30,0.6
70,0.38571428571428573,0.8627639155470249,-4.085714285714285,-50.0,-286.0,-0.07028403414735594,7,50,75,1.5
70,0.2714285714285714,0.8518215309046254,-5.171428571428572,-50.0,-362.0,-0.06418849274711082,8,50,200,4.0
70,0.2857142857142857,0.8,-1.4285714285714286,-10.0,-100.0,-0.10465362369445673,10,10,20,2.0
70,0.37142857142857144,0.7878787878787878,-2.0,-15.0,-140.0,-0.1174147085599321,10,15,20,1.3333333333333333
70,0.7285714285714285,0.7544378698224852,-4.742857142857143,20.0,-332.0,-0.11474036089487039,3,75,20,0.26666666666666666
70,0.2,0.75,-1.0,-5.0,-70.0,-0.12410393109924324,16,5,15,3.0
70,0.42857142857142855,0.75,-2.857142857142857,-20.0,-200.0,-0.14330287605527772,6,20,20,1.0
70,0.5285714285714286,0.7474747474747475,-3.5714285714285716,20.0,-250.0,-0.14206519694323513,4,30,20,0.6666666666666666
70,0.3142857142857143,0.744875708678587,-8.357142857142858,-50.0,-585.0,-0.13425511731630008,8,50,100,2.0
70,0.7857142857142857,0.7333333333333333,-4.285714285714286,15.0,-300.0,-0.11521984757676637,3,75,15,0.2
70,0.9285714285714286,0.7319819819819819,-1.7,5.0,-119.0,-0.0678164950572306,2,100,5,0.05
70,0.8428571428571429,0.7151515151515152,-3.357142857142857,10.0,-235.0,-0.10774623749754406,2,75,10,0.13333333333333333
70,0.4857142857142857,0.7083333333333334,-3.0,-20.0,-210.0,-0.17026918875314895,6,20,15,0.75
70,0.4142857142857143,0.7073170731707317,-2.5714285714285716,-15.0,-180.0,-0.17275707745179067,7,15,15,1.0
70,0.5857142857142857,0.7068965517241379,-3.642857142857143,15.0,-255.0,-0.16315946203780232,4,30,15,0.5
70,0.6857142857142857,0.6545454545454545,-5.428571428571429,15.0,-380.0,-0.17861330485701069,4,50,15,0.3
70,0.6142857142857143,0.6500377928949358,-6.614285714285714,20.0,-463.0,-0.1946567167492718,4,50,20,0.4
