signal_id,category,score_tier,n_1b,wr_1b,avg_1b,sharpe_1b,n_5b,wr_5b,avg_5b,sharpe_5b,n_10b,wr_10b,avg_10b,sharpe_10b,n_15b,wr_15b,avg_15b,sharpe_15b,n_30b,wr_30b,avg_30b,sharpe_30b
AUCT_03,auction,QUIET,43,0.5348837209302325,-0.9534883720930233,-0.025248842515989006,43,0.5348837209302325,7.906976744186046,0.12360845355650973,43,0.5116279069767442,15.255813953488373,0.15891304829360353,43,0.4883720930232558,13.930232558139535,0.14479367919708208,43,0.5348837209302325,45.25581395348837,0.21331040569117682
AUCT_03,auction,TYPE_C,3,0.3333333333333333,12.0,0.17304292898401305,3,0.6666666666666666,16.0,0.14375381675661894,3,0.0,-159.66666666666666,-5.697538165135931,3,0.0,-102.0,-1.6641005886756872,3,0.6666666666666666,-107.33333333333333,-0.41459574944936384
AUCT_04,auction,QUIET,76832,0.5001301541024573,0.3476155768429821,0.008500599255795552,76832,0.49256820074968766,-0.35798885880882964,-0.0036559926862449956,76831,0.49812578092461474,0.19973708529109344,0.001438506874068124,76829,0.49882861307788423,0.8433013575602962,0.0047405587997935116,76820,0.5017310495626822,2.0573548555063788,0.007716775310294113
AUCT_04,auction,TYPE_A,1053,0.5009487666034156,-7.950617283950617,-0.02301809004651383,1053,0.49240986717267554,-5.378917378917379,-0.013314566880070926,1053,0.47248576850094876,-14.792022792022792,-0.029638982288659067,1053,0.49335863377609107,-33.978157644824314,-0.061534320419367856,1053,0.47343453510436434,-47.274453941120605,-0.07260563126039342
AUCT_04,auction,TYPE_B,2750,0.5061818181818182,-0.7825454545454545,-0.004105868060634405,2749,0.492,-9.13641324117861,-0.0340904141998094,2749,0.492,-9.516551473263005,-0.028540233343614673,2749,0.48472727272727273,-18.093852309930885,-0.04948414024574138,2749,0.48763636363636365,-18.781011276827936,-0.04168824005260023
AUCT_04,auction,TYPE_C,45499,0.4968460845293303,0.10857381480911668,0.0019323322905074047,45496,0.4956372667531155,-0.4831853349745033,-0.0028069830333117087,45492,0.4945822985120552,-0.35601864064011257,-0.0014197242236703566,45489,0.4964284929339106,-0.36024093736947393,-0.0011775291200717256,45483,0.49765928921514757,0.03326517599982411,7.82880804231871e-05
AUCT_05,auction,QUIET,1998,0.48098098098098097,-0.03653653653653654,-0.0018147665644161002,1998,0.47897897897897895,-0.25475475475475473,-0.004438242348031025,1998,0.47097097097097096,-1.2672672672672673,-0.013678711391282343,1998,0.48098098098098097,0.3138138138138138,0.0029195949703227425,1997,0.4964964964964965,-4.690035052578868,-0.026247321253833625
AUCT_05,auction,TYPE_A,46,0.3404255319148936,-111.26086956521739,-0.2197478162175891,46,0.3191489361702128,-123.52173913043478,-0.24125303395160236,46,0.3617021276595745,-157.19565217391303,-0.2949076274497551,46,0.3404255319148936,-154.04347826086956,-0.2568415076250247,46,0.425531914893617,-166.2826086956522,-0.24171308340784542
AUCT_05,auction,TYPE_B,94,0.4574468085106383,-1.2553191489361701,-0.00432428195025581,94,0.4148936170212766,-7.202127659574468,-0.018710767098847572,94,0.40425531914893614,22.617021276595743,0.04885454947631775,94,0.4574468085106383,22.24468085106383,0.04662999147964575,94,0.5,-10.872340425531915,-0.02128769581354479
AUCT_05,auction,TYPE_C,1007,0.4756703078450844,0.5948361469712016,0.025299674767277135,1007,0.47368421052631576,2.9056603773584904,0.02551073341485231,1007,0.4746772591857001,-5.922542204568024,-0.03367349202811396,1007,0.47368421052631576,-10.37537239324727,-0.04656153836006773,1007,0.4756703078450844,-9.493545183714001,-0.03243082718342029
DELT_01,delta,QUIET,52359,0.48050955900609255,-0.5466108978399129,-0.012804809371387695,52359,0.49777497660383124,0.1533642735728337,0.00154252940455127,52358,0.4955404037510266,0.13004698422399633,0.0009235952527205189,52356,0.4958459863633759,-0.1351134540453816,-0.0007435883052572982,52351,0.495024733092687,-1.1581822696796622,-0.004240818171430779
DELT_01,delta,TYPE_A,848,0.4911660777385159,0.8372641509433962,0.002221583724194195,848,0.4817432273262662,-5.71816037735849,-0.013019041767404415,848,0.48998822143698467,-2.818396226415094,-0.0052506020594503,848,0.47820965842167257,0.6238207547169812,0.001057906438634091,848,0.5147232037691402,16.524764150943398,0.024311554293049088
