signal_id,category,primary_window,n_1b,n_5b,n_10b,n_15b,n_30b,wr_1b,wr_5b,wr_10b,wr_15b,wr_30b,avg_1b,avg_5b,avg_10b,avg_15b,avg_30b,sharpe_1b,sharpe_5b,sharpe_10b,sharpe_15b,sharpe_30b
IMB_04,imbalance,5,61499,61498,61497,61495,61484,0.488390243902439,0.4970731707317073,0.4950731707317073,0.49629268292682926,0.49617886178861786,-0.04323647538984374,0.1784285667826596,-1.3338699448753597,-0.3521424506057403,-1.5570880229002668,-0.0006828117542943225,0.0012819690957864916,-0.006795048810462467,-0.0014645693787009762,-0.004580157478331589
IMB_03,imbalance,5,118239,118235,118230,118226,118211,0.4851995940460081,0.4949763193504736,0.49676928281461435,0.49664242219215154,0.49523849797023006,-0.39737311716100443,-0.04942698862434981,-0.03585384420197919,0.22070441358076903,-0.6442632242346313,-0.006167056676669245,-0.00034761489968904163,-0.0001780992918620556,0.000895372965139708,-0.0018583132359373943
IMB_05,imbalance,5,60518,60517,60516,60514,60502,0.49305176886597596,0.4979758422974603,0.4986037442786563,0.49883507658751797,0.49987607197739553,0.30597508179384647,-0.07452451377298941,-0.6236036750611409,-0.1399015103942889,-0.38177250338831775,0.00480509885438618,-0.0005337177208762665,-0.0031653177257774927,-0.0005806644526964256,-0.0011189282997439384
EXH_02,exhaustion,5,9735,9735,9734,9734,9731,0.5027221366204417,0.49419619928094505,0.5011813045711351,0.5017976373908577,0.49964047252182847,-0.5686697483307653,-0.17103235747303544,2.93425107869324,0.8505239367166633,0.18405097112321447,-0.008059292239065208,-0.0012561089862043226,0.014922916779535915,0.003501574910507421,0.0005337612526334075
AUCT_01,auction,5,212668,212664,212658,212652,212629,0.49383784190455593,0.49637229685567713,0.4972986189806695,0.4976653861164533,0.49842243110185314,-0.020379182575657833,-0.2500282135199187,-0.25540539269625406,-0.2691157383894814,-0.0070639470627242755,-0.0003493917336807466,-0.001824569427378135,-0.0013025873403900755,-0.0011160326461850264,-2.0618989296117457e-05
IMB_07,imbalance,5,60513,60512,60508,60507,60498,0.4845159797732756,0.49686023069041874,0.499074594308755,0.49809961331262187,0.4968437055887894,-0.5654487465503281,-0.27728384452670546,0.06428901963376743,-0.6986133835754541,-1.6014744289067406,-0.009570171901990098,-0.0019761276954536,0.0003258718600870596,-0.002863674071528791,-0.0046209375550654574
IMB_08,imbalance,5,122054,122050,122045,122040,122025,0.4868624800294949,0.49362992093728236,0.4970218344189095,0.49653844578263895,0.49741509975011267,-0.4973864027397709,-0.37623105284719377,0.4961530582981687,0.33558669288757786,0.36383527965580825,-0.007805349380552838,-0.0026626189158619334,0.0024827045405402333,0.0013708514590415138,0.0010546406213080292
IMB_09,imbalance,5,53268,53265,53263,53262,53256,0.48648344221671547,0.494743560862056,0.4965645415634152,0.49733423443718555,0.4996057670646542,-0.5529586243147856,-0.4587815638787196,-0.888365281715262,-0.5688295595358792,0.29048370136698215,-0.0091013114833022,-0.0032369969040838813,-0.004428379312091359,-0.002332140543760316,0.0008432187828621311
TRAP_01,trapped,5,120696,120692,120688,120684,120669,0.49332626328740564,0.4924314605996835,0.4929699992543311,0.49199234446589396,0.4909898340472423,0.15615264797507789,-0.4788138401882478,-0.7933597375049715,-0.6581402671439461,-0.7738110036546255,0.0024846748534000504,-0.003445446618036788,-0.00403207590895022,-0.0027299234260600874,-0.0022751399917006728
AUCT_04,auction,5,126134,126130,126125,126120,126105,0.4990843144250208,0.49366155309787135,0.496499781979625,0.4976097038886907,0.4997185555159155,0.16747268777649166,-0.6363910251327994,-0.33765708622398416,-0.29429115128449096,0.46112366678561517,0.0026664521936528678,-0.004562385454351797,-0.0017113466574872123,-0.0012166655440401131,0.0013515437317352102
