label,cohort,n,wr_5b,avg_5b,median_5b,sharpe_5b,wr_10b,avg_10b,median_10b,sharpe_10b,wr_15b,avg_15b,median_15b,sharpe_15b,wr_30b,avg_30b,median_30b,sharpe_30b,category,signal_id,score_tier,combo_name,gap_bars,combo_type,n_signals,filter
absorption_then_exhaustion_10 gap=2,sequence_gap,345,0.45217391304347826,-4.506521739130434,-2.25,-0.08481658180192088,0.5,-2.5050872093023258,0.0,-0.03743180231081905,0.48255813953488375,-10.451308139534884,-0.75,-0.11387754056704917,0.4622093023255814,-9.996366279069768,-3.875,-0.0735646959402511,,,,absorption_then_exhaustion_10,2.0,,,
absorption_then_exhaustion_10 gap=4,sequence_gap,309,0.4854368932038835,-2.205501618122977,-0.25,-0.03972394404530255,0.4919093851132686,-2.5331715210355985,-0.5,-0.037460587194003414,0.4919093851132686,-2.5258899676375406,-0.25,-0.031078965289342106,0.4886731391585761,-3.6189320388349513,-1.0,-0.030648051792406438,,,,absorption_then_exhaustion_10,4.0,,,
absorption_then_exhaustion_10 gap=3,sequence_gap,336,0.4732142857142857,-1.7552083333333333,-1.125,-0.03021120718836513,0.46726190476190477,-2.6108630952380953,-1.0,-0.034891872086416115,0.49702380952380953,-0.28943452380952384,0.0,-0.003507756320076474,0.47619047619047616,-7.277529761904762,-2.375,-0.05496942442235173,,,,absorption_then_exhaustion_10,3.0,,,
absorption_then_exhaustion_10 gap=9,sequence_gap,303,0.47854785478547857,0.5635313531353136,-0.5,0.011505427118419224,0.47194719471947194,-3.272277227722772,-1.75,-0.048309807171088626,0.48514851485148514,-1.976897689768977,-0.5,-0.026543190422244456,0.48184818481848185,-7.047029702970297,-2.0,-0.07110936480919888,,,,absorption_then_exhaustion_10,9.0,,,
absorption_then_exhaustion_10 gap=7,sequence_gap,312,0.5032051282051282,0.47836538461538464,0.25,0.010664005691141336,0.4583333333333333,-4.878205128205129,-2.25,-0.08142174496624179,0.49038461538461536,-2.2796474358974357,-1.5,-0.03014378010468895,0.5128205128205128,-2.8421474358974357,0.875,-0.023591825702924417,,,,absorption_then_exhaustion_10,7.0,,,
absorption_then_exhaustion_10 gap=1,sequence_gap,330,0.48484848484848486,-6.346969696969697,-0.375,-0.08502390994335192,0.49696969696969695,-5.202272727272727,0.0,-0.05794684119929534,0.4575757575757576,-6.653030303030303,-2.5,-0.06679515474533239,0.4818181818181818,-3.7075757575757575,-5.125,-0.026927551102685382,,,,absorption_then_exhaustion_10,1.0,,,
absorption_then_exhaustion_10 gap=6,sequence_gap,318,0.4811320754716981,-4.734276729559748,-0.375,-0.08962727705408012,0.46855345911949686,-10.025943396226415,-2.5,-0.12240376391267606,0.48742138364779874,-9.961477987421384,-1.875,-0.1158867019256432,0.46226415094339623,-13.984276729559749,-2.875,-0.11143262553472835,,,,absorption_then_exhaustion_10,6.0,,,
absorption_then_exhaustion_30 gap=26,sequence_gap,258,0.4883720930232558,1.5377906976744187,-0.875,0.03700953243960765,0.5155038759689923,2.641472868217054,0.375,0.04884614792511802,0.5155038759689923,3.643410852713178,1.25,0.060563758439546485,0.46124031007751937,0.48546511627906974,-3.375,0.0060268870376386716,,,,absorption_then_exhaustion_30,26.0,,,
absorption_then_exhaustion_30 gap=5,sequence_gap,301,0.521594684385382,3.3380398671096345,1.0,0.06332310171533259,0.47840531561461797,2.138704318936877,-1.75,0.034140191542353475,0.49169435215946844,0.1511627906976744,-0.25,0.002010356583073936,0.49169435215946844,0.904485049833887,-0.5,0.009269234410144045,,,,absorption_then_exhaustion_30,5.0,,,
absorption_then_exhaustion_30 gap=25,sequence_gap,266,0.4849624060150376,2.0159774436090228,-0.75,0.03560216206292326,0.4849624060150376,1.4548872180451127,-0.5,0.02330092059745076,0.48872180451127817,-0.0009398496240601503,-1.375,-1.215400331973182e-05,0.45864661654135336,-2.720864661654135,-4.5,-0.027750747843313255,,,,absorption_then_exhaustion_30,25.0,,,
absorption_then_exhaustion_30 gap=22,sequence_gap,248,0.5,0.008064516129032258,0.125,0.0002762173726991772,0.5201612903225806,0.9163306451612904,2.125,0.013329890104538803,0.532258064516129,0.8185483870967742,2.375,0.010419224848930068,0.4879032258064516,-3.653225806451613,-2.875,-0.034841404021115546,,,,absorption_then_exhaustion_30,22.0,,,
absorption_then_exhaustion_30 gap=17,sequence_gap,272,0.4852941176470588,-1.6084558823529411,-0.75,-0.05523382959371072,0.5183823529411765,0.8097426470588235,1.125,0.02100667136868629,0.5257352941176471,2.9181985294117645,1.5,0.04092602215434601,0.48161764705882354,2.2426470588235294,-1.625,0.022691186986591755,,,,absorption_then_exhaustion_30,17.0,,,
absorption_then_exhaustion_30 gap=30,sequence_gap,287,0.5087108013937283,0.8597560975609756,0.5,0.02455955630080977,0.49477351916376305,-0.22996515679442509,-0.5,-0.00502756739000937,0.4634146341463415,-1.6280487804878048,-2.0,-0.02955678268507625,0.4738675958188153,-5.618466898954704,-4.25,-0.05992724900240417,,,,absorption_then_exhaustion_30,30.0,,,
absorption_then_exhaustion_30 gap=19,sequence_gap,266,0.5037593984962406,3.348684210526316,0.5,0.10650719284097115,0.48872180451127817,-0.40601503759398494,-0.75,-0.006636080557918607,0.5,-1.8740601503759398,0.125,-0.022273521467095533,0.4548872180451128,-3.8966165413533833,-6.0,-0.03984174859622247,,,,absorption_then_exhaustion_30,19.0,,,
absorption_then_exhaustion_30 gap=24,sequence_gap,264,0.4772727272727273,-1.7443181818181819,-1.0,-0.06233406657335087,0.5,-0.4128787878787879,0.125,-0.006738132325209505,0.5227272727272727,1.714962121212121,1.375,0.0243321081028839,0.5151515151515151,1.089962121212121,0.875,0.012315718362845117,,,,absorption_then_exhaustion_30,24.0,,,
absorption_then_exhaustion_30 gap=8,sequence_gap,315,0.5111111111111111,-1.8984126984126983,1.0,-0.02573089350973474,0.5015873015873016,-0.6428571428571429,0.25,-0.00780967475359717,0.526984126984127,-1.0587301587301587,1.5,-0.011936875122428381,0.48253968253968255,-1.8746031746031746,-1.75,-0.016579711870782866,,,,absorption_then_exhaustion_30,8.0,,,
absorption_then_exhaustion_30 gap=14,sequence_gap,291,0.48109965635738833,-1.4871134020618557,-1.0,-0.04370311073903664,0.47766323024054985,-0.7482817869415808,-0.75,-0.017324306488266376,0.47079037800687284,-0.6254295532646048,-1.75,-0.011500707432384088,0.4845360824742268,0.002577319587628866,-2.0,2.9084574248473847e-05,,,,absorption_then_exhaustion_30,14.0,,,
