score_entry_threshold,min_tier,stop_loss_ticks,target_ticks,exit_on_opposing_score,max_bars_in_trade,total_trades,win_rate,profit_factor,max_drawdown_dollars,sharpe,avg_pnl_per_trade,net_pnl
80,1,8,16,0.3,15,8,0.75,9.302693363303643,8.704842090664897,16.941053640636348,56.31816491377322,450.54531931018573
80,1,8,16,0.3,30,8,0.875,13.19367619295329,0.0,23.436884988232293,69.44316491377322,555.5453193101857
80,1,8,16,0.3,60,8,0.875,13.19367619295329,0.0,23.436884988232293,69.44316491377322,555.5453193101857
80,1,8,16,0.5,15,8,0.75,9.302693363303643,8.704842090664897,16.941053640636348,56.31816491377322,450.54531931018573
80,1,8,16,0.5,30,8,0.875,13.19367619295329,0.0,23.436884988232293,69.44316491377322,555.5453193101857
80,1,8,16,0.5,60,8,0.875,13.19367619295329,0.0,23.436884988232293,69.44316491377322,555.5453193101857
80,1,8,16,0.7,15,8,0.75,9.302693363303643,8.704842090664897,16.941053640636348,56.31816491377322,450.54531931018573
80,1,8,16,0.7,30,8,0.875,13.19367619295329,0.0,23.436884988232293,69.44316491377322,555.5453193101857
80,1,8,16,0.7,60,8,0.875,13.19367619295329,0.0,23.436884988232293,69.44316491377322,555.5453193101857
80,1,8,24,0.3,15,8,0.75,13.356874955342892,8.704842090664897,18.97600119520478,83.81816491377322,670.5453193101857
80,1,8,24,0.3,30,8,0.875,18.35169626033879,0.0,26.227694908861768,98.81816491377322,790.5453193101857
80,1,8,24,0.3,60,8,0.875,19.010166907239068,0.0,27.042111339575584,102.56816491377322,820.5453193101857
80,1,8,24,0.5,15,8,0.75,13.356874955342892,8.704842090664897,18.97600119520478,83.81816491377322,670.5453193101857
80,1,8,24,0.5,30,8,0.875,18.35169626033879,0.0,26.227694908861768,98.81816491377322,790.5453193101857
80,1,8,24,0.5,60,8,0.875,19.010166907239068,0.0,27.042111339575584,102.56816491377322,820.5453193101857
80,1,8,24,0.7,15,8,0.75,13.356874955342892,8.704842090664897,18.97600119520478,83.81816491377322,670.5453193101857
80,1,8,24,0.7,30,8,0.875,18.35169626033879,0.0,26.227694908861768,98.81816491377322,790.5453193101857
80,1,8,24,0.7,60,8,0.875,19.010166907239068,0.0,27.042111339575584,102.56816491377322,820.5453193101857
