trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple
58,0.3275862068965517,0.8594871794871795,-4.724137931034483,-50.0,-274.0,-0.07040358746085838,8,50,100,2.0
58,0.8103448275862069,0.8545454545454545,-2.0689655172413794,15.0,-120.0,-0.05813221834768096,4,75,15,0.2
58,0.29310344827586204,0.8292682926829268,-1.206896551724138,-10.0,-70.0,-0.08761608174288886,8,10,20,2.0
58,0.6206896551724138,0.8181818181818182,-2.0689655172413794,15.0,-120.0,-0.09393546131699365,6,30,15,0.5
58,0.8448275862068966,0.8166666666666667,-2.8448275862068964,15.0,-165.0,-0.06773142926798695,4,100,15,0.15
58,0.3793103448275862,0.8148148148148148,-1.7241379310344827,-15.0,-100.0,-0.10064513712535031,7,15,20,1.3333333333333333
58,0.2413793103448276,0.8122727272727273,-7.120689655172414,-50.0,-413.0,-0.08323081214494248,10,50,200,4.0
58,0.4827586206896552,0.801358234295416,-10.086206896551724,-72.5,-585.0,-0.10647409022769685,8,100,100,1.0
58,0.3793103448275862,0.784074074074074,-10.051724137931034,-75.0,-583.0,-0.11059685280469733,9,75,150,2.0
58,0.3448275862068966,0.7694736842105263,-11.327586206896552,-75.0,-657.0,-0.1133872375873436,9,75,200,2.6666666666666665
58,0.5,0.75,-2.5,-2.5,-145.0,-0.14162026119670001,6,20,15,0.75
58,0.25862068965517243,0.7493023255813953,-9.293103448275861,-50.0,-539.0,-0.12417225633698539,10,50,150,3.0
58,0.15517241379310345,0.7346938775510204,-1.1206896551724137,-5.0,-65.0,-0.12273755970380666,14,5,20,4.0
58,0.7068965517241379,0.7235294117647059,-4.051724137931035,15.0,-235.0,-0.1357567859972234,4,50,15,0.3
58,0.3103448275862069,0.675,-2.2413793103448274,-10.0,-130.0,-0.1921146688231055,8,10,15,1.5
58,0.39655172413793105,0.6571428571428571,-3.103448275862069,-15.0,-180.0,-0.20964125034092485,7,15,15,1.0
58,0.8620689655172413,0.625,-5.172413793103448,10.0,-300.0,-0.13518297659685002,4,100,10,0.1
58,0.3793103448275862,0.597179125528914,-24.620689655172413,-100.0,-1428.0,-0.24178007843364124,9,100,150,1.5
58,0.3448275862068966,0.5855807743658211,-26.75862068965517,-100.0,-1552.0,-0.2426682918242506,9,100,200,2.0
58,0.8103448275862069,0.5696969696969697,-6.120689655172414,10.0,-355.0,-0.18209062511847124,4,75,10,0.13333333333333333
58,0.15517241379310345,0.5510204081632653,-1.896551724137931,-5.0,-110.0,-0.2596371455272833,14,5,15,3.0
58,0.6206896551724138,0.5454545454545454,-5.172413793103448,10.0,-300.0,-0.2641934849540446,6,30,10,0.3333333333333333
58,0.5,0.5,-5.0,-5.0,-290.0,-0.33044727612563335,6,20,10,0.5
58,0.7068965517241379,0.4823529411764706,-7.586206896551724,10.0,-440.0,-0.27536482833479353,4,50,10,0.2
58,0.3103448275862069,0.45,-3.793103448275862,-10.0,-220.0,-0.4063964148181078,8,10,10,1.0
58,0.39655172413793105,0.4380952380952381,-5.086206896551724,-15.0,-295.0,-0.41229445900381884,7,15,10,0.6666666666666666
58,0.15517241379310345,0.3673469387755102,-2.6724137931034484,-5.0,-155.0,-0.4878031218997445,14,5,10,2.0
58,0.8620689655172413,0.3125,-9.482758620689655,5.0,-550.0,-0.25963714552728334,4,100,5,0.05
58,0.8103448275862069,0.28484848484848485,-10.172413793103448,5.0,-590.0,-0.32154383273561027,4,75,5,0.06666666666666667
